Messages;Total Time (sec);First Message Arrival (sec);Average Time per Round (sec);Key Generation (%);Commitments on Key (%);PoK Generation on Keys (%);Sending Comm&PoK on Keys (%);Receive Comm&PoK on Keys (%);Setting Round Messages (%);Calculate PoK on Message Format (%);Send Format Proof (%);Receive Comm&PoK on Format (%);Calculate PoK on Message (%);Send PoK on Message (%);Receive PoK on Message (%);Calculate PoK on Output (%);Send PoK on Output (%);Receive PoK on Output (%);Virtual Round (%);Round Resolution (%);Total Messages Size (bytes);Average Messages Size per Round (bytes);Average Bandwith by participant (bytes/sec);Average Bandwith Approx. all room (bytes/sec);Worst case Bandwidth (bytes/sec)
1;2.9054;2.9052;2.9054;15.5285;8.826;0.2146;0.1658;18.6735;0.2378;0.4011;0;28.8589;0.2193;0.0032;11.8333;0.2632;0.0027;14.7566;0;0.0051;9234.8333;9234.8333;3179.637;95389.112;48.1861361602533
2;5.6675;5.6673;2.8337;15.5959;8.7734;0.1874;0.0966;17.657;0.2535;0.4014;0;29.5788;0.2211;0.0032;11.1408;0.2726;0.0029;15.8072;0;0.005;19263.1;9631.2667;3399.1643;101974.9272;24.7022496691663
3;8.7778;5.7983;2.9259;16.1327;8.3835;0.1727;0.0683;17.6828;0.2425;0.3831;0;28.3075;0.2107;0.0028;11.1548;0.3445;0.0027;16.9047;0;0.0039;30140.9667;10046.6667;3433.9649;103018.9448;15.9493267105653
4;11.411;8.4749;2.8527;16.2044;8.6491;0.1619;0.0545;17.3539;0.2295;0.3577;0;28.4282;0.2082;0.0029;11.1429;0.3114;0.0026;16.8863;0;0.0037;39895.9667;9973.6;3496.3888;104891.6628;12.2688633774428
5;14.5745;8.61;2.9149;16.2248;8.4247;0.1542;0.0472;17.6578;0.2209;0.3322;0;27.7772;0.1991;0.0028;10.6377;0.3488;0.005;17.9611;0;0.0031;50988.2333;10197.3;3498.5143;104955.4286;9.6058183814196
6;17.3103;8.5697;2.885;16.4886;8.4694;0.1614;0.0407;17.966;0.2369;0.3477;0;28.1791;0.203;0.0027;11.1827;0.2906;0.005;16.4189;0;0.003;60483.1;10080.1333;3494.0698;104822.094;8.08767034655667
7;20.3968;11.5879;2.9139;16.1834;8.3757;0.158;0.0368;17.6189;0.2333;0.34;0;28.2479;0.2022;0.0024;11.2752;0.3068;0.0029;17.0112;0;0.003;71390.7667;10198.2333;3500.1171;105003.5111;6.86382177596486
8;23.6073;8.5482;2.9508;16.5568;8.2061;0.1582;0.0335;16.9505;0.2369;0.3413;0;28.092;0.1999;0.002;11.1808;0.332;0.002;17.7033;0;0.003;82559.1667;10319.4667;3497.2247;104916.7421;5.93036899603089
9;26.4892;11.4677;2.9433;15.5462;8.2666;0.1517;0.0318;17.4848;0.2262;0.3276;0;27.725;0.1932;0.002;11.1835;0.3424;0.0034;18.5107;0;0.0021;93756.8;10416.9;3539.4623;106183.8712;5.28517282515138
10;29.0868;14.3659;2.9087;15.9678;8.3679;0.1547;0.0304;17.59;0.232;0.3334;0;28.233;0.2001;0.002;10.9186;0.3132;0.0025;17.6491;0;0.0025;102766.9333;10276.2667;3533.1295;105993.8833;4.81317986165546
11;32.2559;8.3838;2.9324;16.0602;8.2558;0.1439;0.0278;17.1668;0.2159;0.3098;0;27.3683;0.1914;0.002;10.8197;0.3726;0.002;19.0588;0;0.0022;115045.8333;10458.2667;3566.6966;107000.8937;4.34029123354177
12;35.6742;14.5356;2.9729;16.5812;8.2736;0.1497;0.0264;17.143;0.2243;0.3207;0;27.5597;0.1955;0.002;10.5949;0.3511;0.0021;18.5708;0;0.0021;125618.8333;10467.7333;3521.2706;105638.1188;3.92440475189353
13;37.9505;14.3324;2.9192;16.4065;8.4003;0.1455;0.0265;17.3934;0.2168;0.3103;0;27.465;0.1919;0.0022;11.0983;0.3239;0.0023;18.0123;0;0.0026;134329.5333;10332.4333;3539.6112;106188.334;3.68901595499401
14;41.8141;14.5917;2.9868;15.809;8.1455;0.1541;0.0242;17.0708;0.2326;0.3357;0;27.6915;0.2069;0.002;11.0068;0.3659;0.0022;18.9486;0;0.0021;147955.9667;10567.8667;3538.4204;106152.6127;3.34815289579352
15;43.8999;14.1768;2.9267;15.8349;8.3496;0.1505;0.0234;17.3676;0.2272;0.322;0;27.7432;0.2022;0.002;10.9988;0.3426;0.0025;18.4296;0;0.002;156715.2667;10447.1667;3569.8432;107095.297;3.18907332362944
16;47.655;14.6263;2.9784;17.0138;8.1625;0.1474;0.0232;17.2028;0.2236;0.3188;0;27.1954;0.1977;0.002;11.0214;0.3345;0.0025;18.1506;0;0.002;167437.1;10464.3333;3513.5572;105406.7153;2.93778197460917
